Date,BSET100,VNM
22/5/2020,8.52,13.463868
25/5/2020,8.64,NA
26/5/2020,8.74,13.90204
27/5/2020,8.81,13.702871
28/5/2020,8.75,13.692912
29/5/2020,8.77,13.64312
1/6/2020,8.87,13.991667
2/6/2020,9.03,14.031501
4/6/2020,9.29,13.951833
5/6/2020,9.48,14.091251
8/6/2020,9.47,14.479632
9/6/2020,9.25,14.350172
10/6/2020,9.34,14.439798
11/6/2020,9.16,13.603286
12/6/2020,9.06,13.692912
15/6/2020,8.76,13.344365
16/6/2020,8.95,13.513659
17/6/2020,9.01,13.593328
18/6/2020,8.98,13.692912
19/6/2020,8.95,13.702871
22/6/2020,8.82,13.762622
23/6/2020,8.85,13.832332
24/6/2020,8.71,13.503702
25/6/2020,8.64,13.533577
26/6/2020,8.68,13.433991
29/6/2020,8.67,13.483785
30/6/2020,8.74,13.384199
1/7/2020,8.81,13.702871
2/7/2020,9,13.762622
7/7/2020,null,14.021543
8/7/2020,8.87,14.131085
9/7/2020,8.89,14.151003
10/7/2020,8.77,14.170919
13/7/2020,8.71,14.091251
14/7/2020,8.7,14.320297
15/7/2020,8.8,14.599134
16/7/2020,8.75,14.459716
17/7/2020,8.83,14.439798
20/7/2020,8.82,14.519466
21/7/2020,8.95,14.399964
22/7/2020,8.8,14.42984
23/7/2020,8.82,14.180878
24/7/2020,8.68,14.021543
29/7/2020,8.64,13.782539
30/7/2020,8.47,13.812414
31/7/2020,8.58,13.64312
3/8/2020,8.48,14.111169
4/8/2020,8.57,14.30038
5/8/2020,8.61,14.648927
6/8/2020,8.61,14.579218
7/8/2020,8.53,14.569259
10/8/2020,8.5,14.698719
11/8/2020,8.62,14.479632
13/8/2020,8.72,14.609093
14/8/2020,8.58,14.638968
17/8/2020,8.56,14.738553
18/8/2020,8.62,14.320297
19/8/2020,8.45,14.190837
20/8/2020,8.37,14.04146
21/8/2020,8.38,14.071335
24/8/2020,8.5,14.409924
25/8/2020,8.5,14.648927
26/8/2020,8.54,14.708678
27/8/2020,8.58,14.489592
28/8/2020,8.55,14.678802
31/8/2020,8.44,14.638968
1/9/2020,8.42,14.788346
2/9/2020,8.45,14.937723
3/9/2020,8.46,14.798304
8/9/2020,8.33,14.738553
9/9/2020,8.29,15.097058
10/9/2020,8.31,14.698719
11/9/2020,8.23,14.728595
14/9/2020,8.17,15.067183
15/9/2020,8.26,15.136892
16/9/2020,8.32,14.917806
17/9/2020,8.25,14.877972
18/9/2020,8.27,14.75847
21/9/2020,8.16,14.638968
22/9/2020,8.1,14.658885
23/9/2020,8.05,14.439798
24/9/2020,7.92,14.390006
25/9/2020,7.9,14.479632
28/9/2020,8.04,14.738553
29/9/2020,8,14.599134
30/9/2020,7.85,14.788346
1/10/2020,7.92,14.88793
2/10/2020,7.86,14.788346
5/10/2020,7.87,14.917806
6/10/2020,7.92,14.75847
7/10/2020,8.02,15.037308
8/10/2020,8.09,15.01739
9/10/2020,8.04,15.087099
12/10/2020,8.09,15.136892
14/10/2020,8.01,15.166767
15/10/2020,7.87,15.176726
16/10/2020,7.81,15.126933
19/10/2020,7.64,14.848096
20/10/2020,7.66,15.077142
21/10/2020,7.7,14.997474
22/10/2020,7.65,15.097058
26/10/2020,7.64,15.047266
27/10/2020,7.65,14.977556
28/10/2020,7.63,14.519466
29/10/2020,7.58,14.75847
30/10/2020,7.54,14.678802
2/11/2020,7.57,14.838138
3/11/2020,7.7,15.007432
4/11/2020,7.73,15.395813
5/11/2020,8.04,15.266353
6/11/2020,8.01,15.296227
9/11/2020,8.17,15.475481
10/11/2020,8.7,15.475481
11/11/2020,8.74,15.54519
12/11/2020,8.65,15.475481
13/11/2020,8.72,15.525273
16/11/2020,8.76,15.435647
17/11/2020,8.74,15.525273
18/11/2020,8.85,15.405771
19/11/2020,8.87,15.6149
20/11/2020,9,15.973406
23/11/2020,9.19,16.033155
24/11/2020,9.05,16.192492
25/11/2020,9.2,15.973406
27/11/2020,9.29,16.20245
30/11/2020,9.08,15.893737
1/12/2020,9.15,16.082947
2/12/2020,9.1,16.27216
3/12/2020,9.26,16.361786
4/12/2020,9.37,16.351828
8/12/2020,9.53,16.421535
9/12/2020,9.54,16.46137
14/12/2020,9.44,16.879627
15/12/2020,9.46,16.91946
16/12/2020,9.49,16.98917
17/12/2020,9.49,16.809916
18/12/2020,9.43,16.790001
21/12/2020,8.91,16.83
22/12/2020,9.06,16.620001
23/12/2020,8.95,16.76
24/12/2020,9.11,16.73
25/12/2020,9.2,NA
28/12/2020,9.07,17.1
29/12/2020,9.21,17.49
30/12/2020,9.11,17.5
