Date,VN30_Closeprice,VN30_Open,Set100_ClosePrice,Set100_Open
"Jul 17, 2019",879.75,880.69,2523.95,2529.66
"Jul 16, 2019",880.91,873.74,NA,NA
"Jul 15, 2019",873.71,875.28,2533.15,2538.57
"Jul 12, 2019",874.99,880.06,2535.51,2556.34
"Jul 11, 2019",879.10,876.12,2548.83,2560.53
"Jul 10, 2019",876.12,872.21,2549.75,2527.88
"Jul 09, 2019",872.21,871.19,2519.06,2532.26
"Jul 08, 2019",870.92,878.96,2538.21,2534.09
"Jul 05, 2019",880.23,879.49,2541.72,2532.77
"Jul 04, 2019",879.72,869.58,2531.33,2560.48
"Jul 03, 2019",869.58,872.92,2555.98,2550.27
"Jul 02, 2019",872.92,876.27,2548.75,2559.63
"Jul 01, 2019",876.26,864.24,2564.91,2571.02
"Jun 28, 2019",864.24,854.49,2546.22,2549.80
"Jun 27, 2019",854.41,866.84,2550.03,2542.75
"Jun 26, 2019",866.81,868.16,2534.88,2527.27
"Jun 25, 2019",868.50,867.73,2535.07,2525.34
"Jun 24, 2019",868.94,866.63,2525.71,2536.82
"Jun 21, 2019",866.53,864.59,2527.36,2539.87
"Jun 20, 2019",864.59,854.90,2532.36,2521.43
"Jun 19, 2019",854.34,850.34,2512.62,2492.07
"Jun 18, 2019",848.17,852.62,2474.04,2445.10
"Jun 17, 2019",852.99,861.37,2445.42,2455.87
"Jun 14, 2019",861.65,859.53,2453.31,2454.76
"Jun 13, 2019",859.68,865.29,2456.89,2450.21
"Jun 12, 2019",865.42,870.48,2453.73,2452.39
"Jun 11, 2019",870.91,872.49,2455.33,2449.25
"Jun 10, 2019",872.49,869.68,2445.71,2441.09
"Jun 07, 2019",869.56,860.64,2427.26,2435.39
"Jun 06, 2019",861.31,863.81,2429.53,2423.55
"Jun 05, 2019",863.69,866.79,2423.48,2423.75
"Jun 04, 2019",864.35,864.27,2406.78,2385.19
"Jun 03, 2019",864.08,875.64,NA,NA
"May 31, 2019",876.29,883.39,2377.12,2378.52
"May 30, 2019",883.37,883.51,2380.36,2375.65
"May 29, 2019",883.52,886.12,2375.33,2395.87
"May 28, 2019",885.27,888.80,2396.62,2388.43
"May 27, 2019",889.20,884.29,2381.69,2374.03
"May 24, 2019",884.48,894.22,2365.25,2350.62
"May 23, 2019",895.07,897.66,2359.77,2379.45
"May 22, 2019",897.66,901.49,2387.91,2371.22
"May 21, 2019",901.36,901.79,2360.55,2357.77
"May 20, 2019",901.06,890.16,NA,NA
"May 17, 2019",890.53,892.93,2355.80,2375.19
"May 16, 2019",891.93,893.70,2367.81,2381.99
"May 15, 2019",893.22,882.99,2378.73,2402.38
"May 14, 2019",882.67,879.14,2397.57,2392.62
"May 13, 2019",879.64,876.16,2406.23,2417.65
"May 10, 2019",876.45,871.28,2418.46,2427.94
"May 09, 2019",871.50,872.71,2414.63,2425.83
"May 08, 2019",872.78,872.22,2427.15,2439.38
"May 07, 2019",877.02,880.06,2451.69,2452.41
"May 06, 2019",878.80,893.83,NA,NA
"May 03, 2019",895.42,893.80,2468.28,2462.85
"May 02, 2019",893.87,890.60,2467.76,2464.22
"Apr 26, 2019",890.55,885.47,2446.30,2456.78
"Apr 25, 2019",885.65,888.57,2456.97,2458.07
"Apr 24, 2019",888.65,877.97,2458.54,2460.26
"Apr 23, 2019",878.29,878.38,2454.82,2461.42
"Apr 22, 2019",878.23,880.90,2459.28,2465.13
"Apr 19, 2019",880.52,877.07,2458.75,2460.01
"Apr 18, 2019",877.02,884.29,2460.21,2458.63
"Apr 17, 2019",885.66,886.65,2455.97,2445.25
"Apr 16, 2019",887.76,890.81,NA,NA
"Apr 12, 2019",893.10,895.95,2436.80,2433.08
"Apr 11, 2019",896.04,893.60,2435.43,2440.03
